名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,1955.76,391.15,81969,2415.0,+1.68%
2,2408,南亞科,上市,半導體 / 記憶體,1812.25,362.45,353637,517.0,+0.00%
3,2454,聯發科,上市,半導體 / IC設計,1394.28,278.86,36966,3945.0,+6.62%
4,3081,聯亞,上櫃,一般產業,1169.7,233.94,37413,3255.0,+0.00%
5,3037,欣興,上市,電子 / ABF載板,969.2,193.84,88385,1160.0,+1.75%
6,2344,華邦電,上市,半導體 / 記憶體,961.99,192.4,542024,181.5,+2.83%
7,4979,華星光,上櫃,一般產業,825.81,165.16,135953,598.0,+0.00%
8,2327,國巨*,上市,被動元件,819.51,163.9,149207,537.0,-4.45%
9,8039,台虹,上市,一般產業,770.85,154.17,269000,320.5,+13.25%
10,2308,台達電,上市,電子 / 電源綠能,733.56,146.71,42617,1750.0,+0.29%
11,3008,大立光,上市,一般產業,727.85,145.57,12939,6290.0,+14.05%
12,8358,金居,上櫃,一般產業,713.07,142.61,161305,449.5,+0.00%
13,1303,南亞,上市,塑膠塑化 / 原料,704.17,140.83,370289,207.0,+11.29%
14,2303,聯電,上市,半導體 / 晶圓代工,686.55,137.31,567108,123.5,+6.93%
15,3189,景碩,上市,一般產業,665.74,133.15,80677,881.0,+3.53%
16,3105,穩懋,上櫃,一般產業,642.43,128.49,162994,405.0,+0.00%
17,3443,創意,上市,一般產業,640.22,128.04,11411,6125.0,+8.79%
18,2301,光寶科,上市,一般產業,631.71,126.34,221394,307.0,+14.98%
19,1815,富喬,上櫃,一般產業,620.12,124.02,533889,118.0,+0.00%
20,2383,台光電,上市,電子 / CCL銅箔基板,610.2,122.04,10668,5895.0,-1.50%
